Year,Month,Bus,Total Trips,Total Passengers,
2024,January,E,71,3063,
2024,February,E,71,3063,
2024,March,E,48,2215,
2024,April,E,61,2240,
2024,May,E,9,194,
2024,June,E,33,774,
2024,July,E,34,805,
2024,August,E,40,1438,
2024,September,E,19,573,
2024,October,E,0,0,
2024,November,E,0,0,
2024,December,E,75,4112,
2024,January,F,0,0,
2024,February,F,0,0,
2024,March,F,0,0,
2024,April,F,0,0,
2024,May,F,0,0,
2024,June,F,0,0,
2024,July,F,0,0,
2024,August,F,0,0,
2024,September,F,0,0,
2024,October,F,0,0,
2024,November,F,0,0,
2024,December,F,0,0,
2024,January,G,9,194,
2024,February,G,28,951,
2024,March,G,28,726,
2024,April,G,17,717,
2024,May,G,20,609,
2024,June,G,19,624,
2024,July,G,7,211,
2024,August,G,0,0,
2024,September,G,0,0,
2024,October,G,0,0,
2024,November,G,0,0,
2024,December,G,0,0,
2024,January,H,0,0,
2024,February,H,0,0,
2024,March,H,0,0,
2024,April,H,0,0,
2024,May,H,0,0,
2024,June,H,0,0,
2024,July,H,0,0,
2024,August,H,0,0,
2024,September,H,0,0,
2024,October,H,0,0,
2024,November,H,0,0,
2024,December,H,0,0,
2024,January,7,42,1813,
2024,February,7,41,2433,
2024,March,7,32,1604,
2024,April,7,48,1841,
2024,May,7,63,1935,
2024,June,7,37,981,
2024,July,7,0,0,
2024,August,7,0,0,
2024,September,7,0,0,
2024,October,7,0,0,
2024,November,7,0,0,
2024,December,7,0,0,
2025,January,A,64,4005,
2025,February,A,113,7153,
2025,March,A,117,7144,
2025,April,A,69,2849,
2025,May,A,83,3826,
2025,June,A,0,0,
2025,July,A,0,0,
2025,August,A,0,0,
2025,September,A,0,0,
2025,October,A,0,0,
2025,November,A,0,0,
2025,December,A,0,0,
2025,January,F,70,3280,
2025,February,F,94,5416,
2025,March,F,84,4646,
2025,April,F,66,2706,
2025,May,F,86,3413,
2025,June,F,112,5168,
2025,July,F,0,0,
2025,August,F,0,0,
2025,September,F,0,0,
2025,October,F,0,0,
2025,November,F,0,0,
2025,December,F,0,0,
2025,January,E,0,0,
2025,February,E,0,0,
2025,March,E,0,0,
2025,April,E,4,220,
2025,May,E,7,298,
2025,June,E,16,796,
2025,July,E,0,0,
2025,August,E,0,0,
2025,September,E,0,0,
2025,October,E,0,0,
2025,November,E,0,0,
2025,December,E,0,0,
2025,January,APV,0,0,
2025,February,APV,0,0,
2025,March,APV,0,0,
2025,April,APV,0,0,
2025,May,APV,0,0,
2025,June,APV,34,544,
2025,July,APV,0,0,
2025,August,APV,0,0,
2025,September,APV,0,0,
2025,October,APV,0,0,
2025,November,APV,0,0,
2025,December,APV,0,0,
2025,January,ALL_BUSES,134,7285,
2025,February,ALL_BUSES,207,12569,
2025,March,ALL_BUSES,201,11790,
2025,April,ALL_BUSES,139,5775,
2025,May,ALL_BUSES,176,7537,
2025,June,ALL_BUSES,162,6508,
2025,July,ALL_BUSES,0,0,
2025,August,ALL_BUSES,0,0,
2025,September,ALL_BUSES,0,0,
2025,October,ALL_BUSES,0,0,
2025,November,ALL_BUSES,0,0,
2025,December,ALL_BUSES,0,0,
