Year,Month,Bus,Total Trips,Total Passengers
2018,September,Bus 5,18,590
2018,September,Bus 6,11,512
2018,September,Bus 7,12,575
2018,September,Bus 8,8,445
2018,September,Bus 9,11,383
2018,September,Bus 10,10,453
2018,October,Bus 1,18,558
2018,October,Bus 2,9,470
2018,October,Bus 3,14,557
2018,October,Bus 4,13,508
2018,October,Bus 5,12,595
2018,October,Bus 6,9,474
2018,October,Bus 7,5,196
2018,October,Bus 8,9,402
2018,October,Bus 9,10,271
2018,October,Bus 10,5,413
2018,November,Bus 1,5,464
2018,November,Bus 2,19,316
2018,November,Bus 3,9,565
2018,November,Bus 4,15,504
2018,November,Bus 5,13,232
2018,November,Bus 6,7,503
2018,November,Bus 7,8,404
2018,November,Bus 8,11,517
2018,November,Bus 9,20,435
2018,November,Bus 10,11,182
2018,December,Bus 1,11,444
2018,December,Bus 2,16,552
2018,December,Bus 3,16,378
2018,December,Bus 4,14,449
2018,December,Bus 5,16,208
2018,December,Bus 6,14,443
2018,December,Bus 7,8,577
2018,December,Bus 8,20,249
2018,December,Bus 9,7,514
2018,December,Bus 10,16,287
2019,January,Bus 1,15,501
2019,January,Bus 2,15,278
2019,January,Bus 3,20,339
2019,January,Bus 4,7,441
2019,January,Bus 5,14,214
2019,January,Bus 6,20,309
2019,January,Bus 7,19,526
2019,January,Bus 8,11,617
2019,January,Bus 9,20,490
2019,January,Bus 10,19,401
2019,February,Bus 1,6,237
2019,February,Bus 2,21,347
2019,February,Bus 3,15,324
2019,February,Bus 4,11,273
2019,February,Bus 5,8,244
2019,February,Bus 6,17,522
2019,February,Bus 7,20,557
2019,February,Bus 8,17,602
2019,February,Bus 9,10,305
2019,February,Bus 10,17,223
2019,March,Bus 1,20,503
2019,March,Bus 2,14,487
2019,March,Bus 3,20,257
2019,March,Bus 4,11,270
2019,March,Bus 5,14,498
2019,March,Bus 6,19,485
2019,March,Bus 7,14,427
2019,March,Bus 8,12,555
2019,March,Bus 9,11,212
2019,March,Bus 10,14,174
2019,April,Bus 1,9,550
2019,April,Bus 2,11,317
2019,April,Bus 3,19,404
2019,April,Bus 4,20,400
2019,April,Bus 5,15,322
2019,April,Bus 6,16,233
2019,April,Bus 7,9,179
2019,April,Bus 8,21,301
2019,April,Bus 9,19,256
2019,April,Bus 10,13,316
2019,May,Bus 1,8,359
2019,May,Bus 2,21,215
2019,May,Bus 3,6,502
2019,May,Bus 4,6,474
2019,May,Bus 5,20,566
2019,May,Bus 6,14,310
2019,May,Bus 7,21,599
2019,May,Bus 8,8,356
2019,May,Bus 9,13,526
2019,May,Bus 10,10,554
2019,June,Bus 1,19,598
2019,June,Bus 2,19,518
2019,June,Bus 3,20,563
2019,June,Bus 4,9,328
2019,June,Bus 5,14,434
2019,June,Bus 6,20,526
2019,June,Bus 7,16,229
2019,June,Bus 8,8,295
2019,June,Bus 9,13,414
2019,June,Bus 10,19,245
2019,July,Bus 1,14,598
2019,July,Bus 2,17,598
2019,July,Bus 3,19,256
2019,July,Bus 4,11,230
2019,July,Bus 5,13,436
2019,July,Bus 6,9,612
2019,July,Bus 7,18,506
2019,July,Bus 8,20,454
2019,July,Bus 9,7,417
2019,July,Bus 10,6,615
2019,August,Bus 1,21,207
2019,August,Bus 2,19,537
2019,August,Bus 3,7,205
2019,August,Bus 4,13,451
2019,August,Bus 5,16,454
2019,August,Bus 6,7,271
2019,August,Bus 7,10,369
2019,August,Bus 8,10,201
2019,August,Bus 9,13,435
2019,August,Bus 10,16,263
2019,September,Bus 1,13,180
2019,September,Bus 2,8,224
2019,September,Bus 3,18,617
2019,September,Bus 4,21,425
2019,September,Bus 5,6,238
2019,September,Bus 6,20,237
2019,September,Bus 7,6,578
2019,September,Bus 8,16,311
2019,September,Bus 9,14,174
2019,September,Bus 10,9,202
2019,October,Bus 1,7,265
2019,October,Bus 2,8,485
2019,October,Bus 3,9,548
2019,October,Bus 4,21,617
2019,October,Bus 5,8,292
2019,October,Bus 6,7,354
2019,October,Bus 7,17,604
2019,October,Bus 8,16,422
2019,October,Bus 9,13,532
2019,October,Bus 10,8,559
2019,November,Bus 1,19,385
2019,November,Bus 2,8,331
2019,November,Bus 3,16,618
2019,November,Bus 4,19,184
2019,November,Bus 5,19,338
2019,November,Bus 6,21,235
2019,November,Bus 7,18,476
2019,November,Bus 8,20,211
2019,November,Bus 9,19,230
2019,November,Bus 10,11,352
2019,December,Bus 1,17,328
2019,December,Bus 2,9,235
2019,December,Bus 3,10,387
2019,December,Bus 4,13,379
2019,December,Bus 5,9,268
2019,December,Bus 6,20,305
2019,December,Bus 7,7,252
2019,December,Bus 8,12,384
2019,December,Bus 9,19,340
2019,December,Bus 10,17,613
2020,January,Bus 1,21,483
2020,January,Bus 2,15,605
2020,January,Bus 3,8,436
2020,January,Bus 4,9,364
2020,January,Bus 5,22,578
2020,January,Bus 6,16,577
2020,January,Bus 7,17,216
2020,January,Bus 8,9,412
2020,January,Bus 9,19,518
2020,January,Bus 10,9,637
2020,February,Bus 1,22,332
2020,February,Bus 2,7,229
2020,February,Bus 3,12,558
2020,February,Bus 4,16,339
2020,February,Bus 5,11,508
2020,February,Bus 6,10,471
2020,February,Bus 7,9,232
2020,February,Bus 8,8,503
2020,February,Bus 9,10,402
2020,February,Bus 10,9,371
2020,March,Bus 1,18,594
2020,March,Bus 2,18,285
2020,March,Bus 3,12,412
2020,March,Bus 4,15,347
2020,March,Bus 5,15,595
2020,March,Bus 6,18,546
2020,March,Bus 7,22,591
2020,March,Bus 8,19,432
2020,March,Bus 9,8,274
2020,March,Bus 10,7,584
2020,April,Bus 1,17,585
2020,April,Bus 2,12,376
2020,April,Bus 3,10,462
2020,April,Bus 4,13,303
2020,April,Bus 5,17,483
2020,April,Bus 6,13,386
2020,April,Bus 7,15,440
2020,April,Bus 8,12,372
2020,April,Bus 9,17,231
2020,April,Bus 10,10,589
2020,May,Bus 1,13,479
2020,May,Bus 2,18,578
2020,May,Bus 3,8,504
2020,May,Bus 4,18,422
2020,May,Bus 5,19,567
2020,May,Bus 6,18,286
2020,May,Bus 7,19,385
2020,May,Bus 8,9,226
2020,May,Bus 9,19,450
2020,May,Bus 10,10,618
2020,June,Bus 1,12,576
2020,June,Bus 2,9,286
2020,June,Bus 3,10,602
2020,June,Bus 4,17,595
2020,June,Bus 5,15,226
2020,June,Bus 6,12,220
2020,June,Bus 7,11,577
2020,June,Bus 8,19,259
2020,June,Bus 9,10,478
2020,June,Bus 10,14,299
2020,July,Bus 1,16,352
2020,July,Bus 2,15,634
2020,July,Bus 3,21,543
2020,July,Bus 4,12,498
2020,July,Bus 5,22,416
2020,July,Bus 6,10,270
2020,July,Bus 7,12,424
2020,July,Bus 8,19,487
2020,July,Bus 9,12,480
2020,July,Bus 10,17,260
2020,August,Bus 1,20,606
2020,August,Bus 2,17,414
2020,August,Bus 3,16,448
2020,August,Bus 4,9,594
2020,August,Bus 5,7,353
2020,August,Bus 6,15,351
2020,August,Bus 7,8,557
2020,August,Bus 8,12,363
2020,August,Bus 9,14,228
2020,August,Bus 10,9,548
2020,September,Bus 1,15,582
2020,September,Bus 2,16,358
2020,September,Bus 3,10,327
2020,September,Bus 4,11,350
2020,September,Bus 5,9,474
2020,September,Bus 6,16,201
2020,September,Bus 7,18,282
2020,September,Bus 8,17,518
2020,September,Bus 9,9,232
2020,September,Bus 10,18,437
2020,October,Bus 1,13,573
2020,October,Bus 2,22,458
2020,October,Bus 3,16,311
2020,October,Bus 4,10,537
2020,October,Bus 5,18,210
2020,October,Bus 6,19,218
2020,October,Bus 7,17,240
2020,October,Bus 8,10,258
2020,October,Bus 9,19,345
2020,October,Bus 10,10,634
2020,November,Bus 1,15,512
2020,November,Bus 2,15,296
2020,November,Bus 3,14,640
2020,November,Bus 4,8,268
2020,November,Bus 5,16,312
2020,November,Bus 6,20,628
2020,November,Bus 7,7,282
2020,November,Bus 8,12,414
2020,November,Bus 9,14,568
2020,November,Bus 10,8,590
2020,December,Bus 1,7,473
2020,December,Bus 2,12,384
2020,December,Bus 3,8,505
2020,December,Bus 4,18,412
2020,December,Bus 5,17,500
2020,December,Bus 6,9,207
2020,December,Bus 7,17,349
2020,December,Bus 8,15,519
2020,December,Bus 9,17,549
2020,December,Bus 10,10,625
2021,January,Bus 1,18,558
2021,January,Bus 2,18,646
2021,January,Bus 3,22,487
2021,January,Bus 4,17,555
2021,January,Bus 5,8,470
2021,January,Bus 6,8,223
2021,January,Bus 7,11,215
2021,January,Bus 8,19,451
2021,January,Bus 9,18,404
2021,January,Bus 10,10,542
2021,February,Bus 1,19,443
2021,February,Bus 2,8,242
2021,February,Bus 3,17,604
2021,February,Bus 4,14,371
2021,February,Bus 5,10,450
2021,February,Bus 6,12,636
2021,February,Bus 7,16,655
2021,February,Bus 8,21,212
2021,February,Bus 9,9,230
2021,February,Bus 10,10,491
2021,March,Bus 1,8,612
2021,March,Bus 2,21,645
2021,March,Bus 3,11,412
2021,March,Bus 4,8,409
2021,March,Bus 5,15,348
2021,March,Bus 6,8,411
2021,March,Bus 7,15,464
2021,March,Bus 8,19,484
2021,March,Bus 9,21,624
2021,March,Bus 10,8,234
2021,April,Bus 1,10,557
2021,April,Bus 2,23,385
2021,April,Bus 3,16,433
2021,April,Bus 4,12,441
2021,April,Bus 5,11,364
2021,April,Bus 6,21,629
2021,April,Bus 7,14,604
2021,April,Bus 8,23,422
2021,April,Bus 9,10,588
2021,April,Bus 10,8,242
2021,May,Bus 1,10,638
2021,May,Bus 2,20,303
2021,May,Bus 3,23,503
2021,May,Bus 4,21,461
2021,May,Bus 5,11,543
2021,May,Bus 6,14,623
2021,May,Bus 7,17,475
2021,May,Bus 8,8,506
2021,May,Bus 9,11,499
2021,May,Bus 10,14,334
2021,June,Bus 1,17,616
2021,June,Bus 2,16,452
2021,June,Bus 3,21,243
2021,June,Bus 4,12,318
2021,June,Bus 5,16,389
2021,June,Bus 6,14,501
2021,June,Bus 7,15,297
2021,June,Bus 8,10,316
2021,June,Bus 9,16,266
2021,June,Bus 10,11,444
2021,July,Bus 1,21,590
2021,July,Bus 2,15,426
2021,July,Bus 3,10,386
2021,July,Bus 4,20,407
2021,July,Bus 5,19,328
2021,July,Bus 6,20,276
2021,July,Bus 7,19,576
2021,July,Bus 8,8,492
2021,July,Bus 9,9,415
2021,July,Bus 10,17,281
2021,August,Bus 1,16,547
2021,August,Bus 2,19,348
2021,August,Bus 3,15,466
2021,August,Bus 4,9,432
2021,August,Bus 5,15,357
2021,August,Bus 6,17,570
2021,August,Bus 7,10,472
2021,August,Bus 8,22,437
2021,August,Bus 9,13,469
2021,August,Bus 10,16,607
2021,September,Bus 1,20,353
2021,September,Bus 2,13,225
2021,September,Bus 3,8,503
2021,September,Bus 4,23,650
2021,September,Bus 5,11,572
2021,September,Bus 6,18,647
2021,September,Bus 7,9,400
2021,September,Bus 8,11,434
2021,September,Bus 9,20,411
2021,September,Bus 10,12,441
2021,October,Bus 1,14,482
2021,October,Bus 2,9,587
2021,October,Bus 3,21,627
2021,October,Bus 4,8,287
2021,October,Bus 5,19,613
2021,October,Bus 6,10,453
2021,October,Bus 7,15,330
2021,October,Bus 8,22,352
2021,October,Bus 9,14,257
2021,October,Bus 10,11,637
2021,November,Bus 1,14,219
2021,November,Bus 2,17,392
2021,November,Bus 3,18,549
2021,November,Bus 4,22,569
2021,November,Bus 5,19,548
2021,November,Bus 6,22,386
2021,November,Bus 7,13,451
2021,November,Bus 8,17,557
2021,November,Bus 9,11,521
2021,November,Bus 10,12,455
2021,December,Bus 1,23,618
2021,December,Bus 2,9,584
2021,December,Bus 3,11,375
2021,December,Bus 4,8,348
2021,December,Bus 5,15,306
2021,December,Bus 6,11,426
2021,December,Bus 7,19,350
2021,December,Bus 8,10,438
2021,December,Bus 9,17,289
2021,December,Bus 10,22,218
2022,January,Bus 1,12,237
2022,January,Bus 2,23,545
2022,January,Bus 3,22,275
2022,January,Bus 4,10,372
2022,January,Bus 5,17,526
2022,January,Bus 6,12,256
2022,January,Bus 7,16,505
2022,January,Bus 8,23,509
2022,January,Bus 9,17,648
2022,January,Bus 10,24,380
2022,February,Bus 1,21,267
2022,February,Bus 2,22,245
2022,February,Bus 3,10,365
2022,February,Bus 4,21,663
2022,February,Bus 5,17,570
2022,February,Bus 6,14,596
2022,February,Bus 7,13,505
2022,February,Bus 8,14,392
2022,February,Bus 9,24,535
2022,February,Bus 10,14,398
2022,March,Bus 1,18,271
2022,March,Bus 2,22,363
2022,March,Bus 3,21,634
2022,March,Bus 4,18,409
2022,March,Bus 5,12,361
2022,March,Bus 6,21,533
2022,March,Bus 7,16,679
2022,March,Bus 8,22,437
2022,March,Bus 9,10,466
2022,March,Bus 10,17,592
2022,April,Bus 1,10,536
2022,April,Bus 2,22,506
2022,April,Bus 3,12,633
2022,April,Bus 4,10,624
2022,April,Bus 5,18,318
2022,April,Bus 6,14,302
2022,April,Bus 7,24,522
2022,April,Bus 8,20,626
2022,April,Bus 9,18,452
2022,April,Bus 10,13,610
2022,May,Bus 1,22,252
2022,May,Bus 2,10,287
2022,May,Bus 3,13,255
2022,May,Bus 4,10,355
2022,May,Bus 5,19,567
2022,May,Bus 6,12,304
2022,May,Bus 7,9,392
2022,May,Bus 8,9,267
2022,May,Bus 9,10,542
2022,May,Bus 10,21,381
2022,June,Bus 1,13,481
2022,June,Bus 2,9,547
2022,June,Bus 3,21,389
2022,June,Bus 4,14,498
2022,June,Bus 5,16,423
2022,June,Bus 6,23,259
2022,June,Bus 7,9,518
2022,June,Bus 8,14,498
2022,June,Bus 9,14,301
2022,June,Bus 10,13,340
2022,July,Bus 1,20,623
2022,July,Bus 2,19,386
2022,July,Bus 3,22,457
2022,July,Bus 4,16,415
2022,July,Bus 5,13,236
2022,July,Bus 6,10,249
2022,July,Bus 7,17,326
2022,July,Bus 8,21,312
2022,July,Bus 9,19,541
2022,July,Bus 10,10,638
2022,August,Bus 1,16,346
2022,August,Bus 2,19,271
2022,August,Bus 3,23,522
2022,August,Bus 4,18,475
2022,August,Bus 5,11,537
2022,August,Bus 6,12,304
2022,August,Bus 7,17,465
2022,August,Bus 8,16,281
2022,August,Bus 9,21,278
2022,August,Bus 10,11,455
2022,September,Bus 1,16,371
2022,September,Bus 2,20,254
2022,September,Bus 3,20,279
2022,September,Bus 4,13,606
2022,September,Bus 5,15,256
2022,September,Bus 6,16,309
2022,September,Bus 7,22,470
2022,September,Bus 8,24,413
2022,September,Bus 9,12,378
2022,September,Bus 10,22,325
2022,October,Bus 1,17,317
2022,October,Bus 2,18,651
2022,October,Bus 3,14,667
2022,October,Bus 4,23,303
2022,October,Bus 5,12,250
2022,October,Bus 6,11,278
2022,October,Bus 7,12,550
2022,October,Bus 8,20,469
2022,October,Bus 9,22,260
2022,October,Bus 10,15,385
2022,November,Bus 1,22,609
2022,November,Bus 2,13,486
2022,November,Bus 3,14,611
2022,November,Bus 4,13,651
2022,November,Bus 5,16,577
2022,November,Bus 6,23,680
2022,November,Bus 7,17,285
2022,November,Bus 8,16,566
2022,November,Bus 9,23,334
2022,November,Bus 10,18,609
2022,December,Bus 1,12,576
2022,December,Bus 2,23,259
2022,December,Bus 3,16,440
2022,December,Bus 4,15,368
2022,December,Bus 5,21,345
2022,December,Bus 6,18,612
2022,December,Bus 7,13,397
2022,December,Bus 8,10,614
2022,December,Bus 9,24,586
2022,December,Bus 10,9,505
2023,January,Bus 1,17,555
2023,January,Bus 2,22,516
2023,January,Bus 3,16,608
2023,January,Bus 4,23,541
2023,January,Bus 5,12,403
2023,January,Bus 6,10,633
2023,January,Bus 7,14,437
2023,January,Bus 8,15,613
2023,January,Bus 9,18,560
2023,January,Bus 10,18,371
2023,February,Bus 1,11,541
2023,February,Bus 2,24,668
2023,February,Bus 3,10,367
2023,February,Bus 4,14,416
2023,February,Bus 5,24,276
2023,February,Bus 6,22,397
2023,February,Bus 7,23,475
2023,February,Bus 8,16,357
2023,February,Bus 9,13,403
2023,February,Bus 10,11,473
2023,March,Bus 1,22,547
2023,March,Bus 2,22,301
2023,March,Bus 3,16,286
2023,March,Bus 4,10,636
2023,March,Bus 5,25,584
2023,March,Bus 6,10,649
2023,March,Bus 7,21,612
2023,March,Bus 8,19,609
2023,March,Bus 9,19,497
2023,March,Bus 10,20,572
2023,April,Bus 1,17,315
2023,April,Bus 2,18,326
2023,April,Bus 3,11,333
2023,April,Bus 4,22,638
2023,April,Bus 5,12,304
2023,April,Bus 6,23,621
2023,April,Bus 7,21,442
2023,April,Bus 8,23,424
2023,April,Bus 9,15,619
2023,April,Bus 10,11,419
2023,May,Bus 1,19,551
2023,May,Bus 2,18,667
2023,May,Bus 3,10,348
2023,May,Bus 4,17,349
2023,May,Bus 5,20,535
2023,May,Bus 6,11,255
2023,May,Bus 7,16,582
2023,May,Bus 8,22,321
2023,May,Bus 9,24,503
2023,May,Bus 10,24,346
2023,June,Bus 1,24,351
2023,June,Bus 2,25,523
2023,June,Bus 3,13,504
2023,June,Bus 4,11,483
2023,June,Bus 5,18,260
2023,June,Bus 6,12,503
2023,June,Bus 7,16,680
2023,June,Bus 8,16,400
2023,June,Bus 9,11,607
2023,June,Bus 10,23,606
2023,July,Bus 1,20,281
2023,July,Bus 2,14,562
2023,July,Bus 3,14,356
2023,July,Bus 4,21,570
2023,July,Bus 5,22,442
2023,July,Bus 6,20,296
2023,July,Bus 7,20,421
2023,July,Bus 8,10,324
2023,July,Bus 9,14,462
2023,July,Bus 10,20,424
2023,August,Bus 1,10,257
2023,August,Bus 2,10,298
2023,August,Bus 3,21,402
2023,August,Bus 4,21,363
2023,August,Bus 5,19,326
2023,August,Bus 6,15,603
2023,August,Bus 7,25,391
2023,August,Bus 8,14,510
2023,August,Bus 9,25,472
2023,August,Bus 10,24,469
2023,September,Bus 1,11,561
2023,September,Bus 2,22,441
2023,September,Bus 3,10,499
2023,September,Bus 4,16,481
2023,September,Bus 5,21,676
2023,September,Bus 6,17,302
2023,September,Bus 7,24,389
2023,September,Bus 8,19,556
2023,September,Bus 9,13,649
2023,September,Bus 10,12,463
2023,October,Bus 1,15,263
2023,October,Bus 2,22,585
2023,October,Bus 3,24,546
2023,October,Bus 4,14,342
2023,October,Bus 5,22,629
2023,October,Bus 6,12,665
2023,October,Bus 7,18,567
2023,October,Bus 8,24,349
2023,October,Bus 9,12,338
2023,October,Bus 10,14,281
2023,November,Bus 1,16,613
2023,November,Bus 2,11,267
2023,November,Bus 3,25,652
2023,November,Bus 4,15,419
2023,November,Bus 5,14,319
2023,November,Bus 6,19,663
2023,November,Bus 7,24,477
2023,November,Bus 8,16,261
2023,November,Bus 9,16,389
2023,November,Bus 10,25,641
2023,December,Bus 1,11,532
2023,December,Bus 2,21,466
2023,December,Bus 3,13,459
2023,December,Bus 4,19,384
2023,December,Bus 5,19,654
2023,December,Bus 6,23,406
2023,December,Bus 7,10,633
2023,December,Bus 8,14,323
2023,December,Bus 9,20,393
2023,December,Bus 10,18,420
2024,January,Bus 1,24,435
2024,January,Bus 2,18,611
2024,January,Bus 3,16,493
2024,January,Bus 4,18,626
2024,January,Bus 5,26,311
2024,January,Bus 6,23,321
2024,January,Bus 7,25,560
2024,January,Bus 8,22,643
2024,January,Bus 9,11,632
2024,January,Bus 10,22,433
2024,February,Bus 1,17,544
2024,February,Bus 2,21,444
2024,February,Bus 3,16,404
2024,February,Bus 4,12,492
2024,February,Bus 5,24,280
2024,February,Bus 6,12,377
2024,February,Bus 7,11,427
2024,February,Bus 8,25,314
2024,February,Bus 9,20,606
2024,February,Bus 10,26,518
2024,March,Bus 1,26,505
2024,March,Bus 2,12,344
2024,March,Bus 3,18,370
2024,March,Bus 4,12,287
2024,March,Bus 5,19,607
2024,March,Bus 6,13,539
2024,March,Bus 7,15,501
2024,March,Bus 8,15,417
2024,March,Bus 9,26,682
2024,March,Bus 10,22,309
2024,April,Bus 1,20,271
2024,April,Bus 2,12,617
2024,April,Bus 3,25,377
2024,April,Bus 4,12,461
2024,April,Bus 5,21,645
2024,April,Bus 6,26,487
2024,April,Bus 7,20,426
2024,April,Bus 8,21,676
2024,April,Bus 9,18,464
2024,April,Bus 10,16,717
2024,May,Bus 1,23,630
2024,May,Bus 2,23,454
2024,May,Bus 3,11,645
2024,May,Bus 4,21,295
2024,May,Bus 5,23,362
2024,May,Bus 6,22,347
2024,May,Bus 7,13,651
2024,May,Bus 8,23,530
2024,May,Bus 9,13,579
2024,May,Bus 10,13,434
2024,June,Bus 1,18,659
2024,June,Bus 2,14,638
2024,June,Bus 3,18,535
2024,June,Bus 4,20,304
2024,June,Bus 5,22,286
2024,June,Bus 6,19,696
2024,June,Bus 7,15,586
2024,June,Bus 8,15,690
2024,June,Bus 9,21,634
2024,June,Bus 10,18,673
2024,July,Bus 1,26,666
2024,July,Bus 2,17,622
2024,July,Bus 3,13,441
2024,July,Bus 4,13,643
2024,July,Bus 5,11,294
2024,July,Bus 6,14,497
2024,July,Bus 7,12,558
2024,July,Bus 8,24,418
2024,July,Bus 9,19,399
2024,July,Bus 10,20,548
2024,August,Bus 1,15,352
2024,August,Bus 2,21,698
2024,August,Bus 3,25,610
2024,August,Bus 4,19,594
2024,August,Bus 5,24,658
2024,August,Bus 6,15,278
2024,August,Bus 7,18,618
2024,August,Bus 8,21,377
2024,August,Bus 9,24,626
2024,August,Bus 10,16,615
2024,September,Bus 1,22,278
2024,September,Bus 2,14,536
2024,September,Bus 3,13,385
2024,September,Bus 4,15,601
2024,September,Bus 5,20,695
2024,September,Bus 6,12,408
2024,September,Bus 7,25,464
2024,September,Bus 8,11,495
2024,September,Bus 9,17,434
2024,September,Bus 10,15,665
2024,October,Bus 1,15,578
2024,October,Bus 2,22,379
2024,October,Bus 3,16,613
2024,October,Bus 4,14,303
2024,October,Bus 5,22,641
2024,October,Bus 6,26,296
2024,October,Bus 7,12,421
2024,October,Bus 8,23,517
2024,October,Bus 9,22,719
2024,October,Bus 10,16,571
2024,November,Bus 1,15,309
2024,November,Bus 2,21,637
2024,November,Bus 3,25,471
2024,November,Bus 4,26,491
2024,November,Bus 5,14,691
2024,November,Bus 6,14,706
2024,November,Bus 7,16,305
2024,November,Bus 8,15,414
2024,November,Bus 9,13,357
2024,November,Bus 10,18,380
2024,December,Bus 1,13,406
2024,December,Bus 2,11,522
2024,December,Bus 3,23,326
2024,December,Bus 4,14,692
2024,December,Bus 5,23,607
2024,December,Bus 6,11,681
2024,December,Bus 7,17,644
2024,December,Bus 8,26,553
2024,December,Bus 9,24,575
2024,December,Bus 10,15,347
